./main-ns.bin 251 | 0.03 0.00 0.03
./main-ns.bin 316 | 0.05 0.00 0.05
./main-ns.bin 398 | 0.10 0.00 0.10
./main-ns.bin 501 | 0.24 0.00 0.23
./main-ns.bin 630 | 0.48 0.00 0.47
./main-ns.bin 794 | 1.36 0.00 1.36
./main-ns.bin 1000 | 2.59 0.00 2.66
./main-ns.bin 1258 | 5.65 0.00 5.74
./main-ns.bin 1584 | 13.12 0.00 13.18
./main-ns.bin 1995 | 28.51 0.01 28.21
./main-ns.bin 2511 | 74.65 0.03 74.42
